,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,13.0,4.0,6.0,7.0,3.0,13.0,3.0,3.0,3.0,3.0,4.0,13.0,4.0,3.0,4.0,4.0,3.0,3.0,8.0,3.0,3.0,11.0,4.0,8.0,3.0,11.0,4.0,3.0,10.0,12.0,4.0,3.0,9.0,3.0,3.0,11.0,11.0,3.0,4.0,3.0,11.0,3.0,13.0,3.0,3.0,8.0,3.0,4.0,3.0,10.0,10.0,3.0,3.0,3.0,14.0,3.0,3.0,12.0
1,10.0,11.0,10.0,10.0,10.0,10.0,10.0,13.0,10.0,8.0,13.0,3.0,8.0,10.0,13.0,8.0,13.0,10.0,10.0,13.0,10.0,6.0,10.0,3.0,9.0,13.0,13.0,3.0,11.0,8.0,3.0,13.0,8.0,3.0,7.0,3.0,4.0,8.0,3.0,4.0,4.0,3.0,13.0,12.0,4.0,3.0,9.0,3.0,6.0,3.0,11.0,3.0,4.0,3.0,10.0,3.0,13.0,3.0,7.0,8.0,3.0,4.0,3.0,14.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,12.0
2,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,7.0,3.0,8.0,10.0,3.0,9.0,6.0,10.0,10.0,3.0,13.0,3.0,13.0,3.0,9.0,6.0,4.0,3.0,11.0,12.0,3.0,3.0,8.0,3.0,3.0,11.0,4.0,8.0,3.0,11.0,4.0,3.0,14.0,3.0,4.0,3.0,9.0,3.0,3.0,11.0,11.0,3.0,4.0,3.0,11.0,3.0,13.0,3.0,3.0,8.0,3.0,4.0,3.0,14.0,10.0,3.0,3.0,3.0,14.0,3.0,3.0,12.0
3,3.0,3.0,4.0,3.0,4.0,3.0,3.0,10.0,3.0,8.0,3.0,3.0,8.0,3.0,3.0,8.0,4.0,3.0,3.0,3.0,10.0,3.0,10.0,3.0,9.0,6.0,4.0,3.0,3.0,8.0,3.0,3.0,8.0,3.0,3.0,3.0,4.0,8.0,3.0,4.0,4.0,3.0,10.0,3.0,4.0,3.0,9.0,3.0,3.0,3.0,11.0,3.0,3.0,3.0,10.0,3.0,13.0,3.0,3.0,8.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,12.0
4,11.0,11.0,10.0,11.0,10.0,10.0,13.0,10.0,10.0,8.0,6.0,6.0,11.0,10.0,6.0,11.0,4.0,11.0,10.0,4.0,10.0,6.0,10.0,13.0,9.0,7.0,4.0,13.0,11.0,8.0,4.0,13.0,8.0,3.0,12.0,3.0,4.0,8.0,11.0,7.0,4.0,3.0,13.0,3.0,4.0,3.0,9.0,3.0,4.0,4.0,11.0,3.0,12.0,3.0,10.0,3.0,13.0,3.0,3.0,8.0,3.0,14.0,3.0,14.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,12.0
5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,6.0,3.0,3.0,3.0,6.0,3.0,6.0,3.0,5.0,7.0,4.0,3.0,4.0,4.0,3.0,4.0,8.0,3.0,3.0,11.0,4.0,8.0,3.0,11.0,4.0,3.0,3.0,3.0,4.0,3.0,8.0,3.0,3.0,11.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11.0,3.0,4.0,3.0,3.0,10.0,3.0,3.0,7.0,10.0,3.0,3.0,11.0
6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,11.0,4.0,5.0,6.0,11.0,4.0,4.0,10.0,3.0,4.0,3.0,4.0,3.0,3.0,11.0,4.0,3.0,6.0,3.0,11.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,10.0,10.0,3.0,3.0,3.0,14.0,3.0,3.0,5.0
7,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,7.0,3.0,8.0,10.0,3.0,9.0,6.0,13.0,10.0,3.0,13.0,6.0,13.0,3.0,11.0,7.0,4.0,3.0,13.0,12.0,3.0,10.0,11.0,3.0,6.0,13.0,7.0,8.0,6.0,13.0,6.0,4.0,14.0,4.0,13.0,3.0,11.0,3.0,6.0,13.0,12.0,3.0,6.0,3.0,11.0,3.0,13.0,13.0,7.0,12.0,3.0,4.0,3.0,14.0,13.0,3.0,3.0,7.0,14.0,3.0,3.0,12.0
8,3.0,3.0,4.0,3.0,4.0,3.0,3.0,10.0,3.0,8.0,3.0,3.0,8.0,3.0,13.0,8.0,4.0,6.0,3.0,13.0,10.0,3.0,10.0,3.0,9.0,13.0,4.0,3.0,3.0,8.0,3.0,3.0,8.0,3.0,3.0,3.0,4.0,8.0,6.0,4.0,4.0,4.0,10.0,12.0,4.0,3.0,9.0,3.0,3.0,3.0,11.0,3.0,6.0,3.0,10.0,3.0,13.0,3.0,4.0,8.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,12.0
9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,6.0,3.0,3.0,3.0,6.0,3.0,6.0,3.0,5.0,7.0,4.0,3.0,4.0,4.0,3.0,4.0,11.0,3.0,3.0,11.0,6.0,8.0,6.0,11.0,6.0,4.0,10.0,3.0,13.0,3.0,12.0,3.0,3.0,11.0,12.0,3.0,6.0,3.0,11.0,3.0,3.0,13.0,4.0,12.0,3.0,4.0,3.0,10.0,10.0,3.0,3.0,7.0,14.0,3.0,3.0,12.0
10,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,7.0,3.0,8.0,10.0,3.0,9.0,6.0,13.0,10.0,3.0,13.0,6.0,13.0,3.0,11.0,7.0,4.0,3.0,14.0,11.0,3.0,10.0,11.0,3.0,6.0,11.0,7.0,8.0,3.0,11.0,6.0,3.0,14.0,3.0,13.0,3.0,12.0,3.0,4.0,11.0,12.0,3.0,3.0,3.0,11.0,3.0,13.0,13.0,3.0,12.0,3.0,4.0,3.0,13.0,10.0,3.0,3.0,7.0,14.0,3.0,3.0,11.0
11,14.0,14.0,13.0,14.0,13.0,14.0,11.0,13.0,10.0,11.0,13.0,14.0,9.0,10.0,14.0,9.0,13.0,14.0,10.0,13.0,14.0,14.0,14.0,14.0,12.0,13.0,13.0,14.0,13.0,12.0,13.0,14.0,12.0,3.0,7.0,11.0,7.0,8.0,3.0,11.0,7.0,3.0,14.0,12.0,14.0,3.0,11.0,4.0,4.0,11.0,12.0,3.0,4.0,3.0,11.0,3.0,13.0,14.0,3.0,12.0,3.0,14.0,3.0,14.0,10.0,3.0,3.0,7.0,14.0,3.0,4.0,12.0
12,3.0,3.0,4.0,4.0,4.0,3.0,4.0,13.0,4.0,9.0,13.0,14.0,8.0,4.0,13.0,9.0,13.0,7.0,4.0,13.0,13.0,4.0,13.0,4.0,11.0,13.0,13.0,4.0,7.0,12.0,3.0,4.0,11.0,3.0,3.0,14.0,6.0,9.0,6.0,14.0,6.0,6.0,10.0,12.0,13.0,3.0,11.0,3.0,6.0,14.0,12.0,3.0,6.0,3.0,11.0,10.0,14.0,13.0,7.0,12.0,3.0,4.0,3.0,10.0,13.0,3.0,3.0,7.0,14.0,3.0,3.0,12.0
13,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,10.0,3.0,4.0,3.0,4.0,3.0,6.0,3.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,7.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,5.0
14,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,6.0,3.0,3.0,3.0,6.0,3.0,6.0,3.0,5.0,7.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,11.0,6.0,5.0,6.0,11.0,6.0,4.0,10.0,3.0,13.0,3.0,4.0,3.0,3.0,11.0,4.0,3.0,6.0,3.0,11.0,3.0,3.0,13.0,4.0,4.0,3.0,4.0,3.0,10.0,10.0,3.0,3.0,7.0,14.0,3.0,3.0,4.0
15,13.0,13.0,13.0,13.0,13.0,14.0,11.0,13.0,10.0,8.0,13.0,13.0,9.0,10.0,13.0,8.0,13.0,14.0,10.0,13.0,10.0,6.0,10.0,3.0,11.0,13.0,13.0,3.0,14.0,8.0,3.0,13.0,11.0,3.0,7.0,3.0,7.0,8.0,6.0,4.0,6.0,4.0,13.0,12.0,13.0,3.0,12.0,3.0,4.0,3.0,12.0,3.0,6.0,3.0,10.0,3.0,13.0,13.0,4.0,12.0,3.0,4.0,3.0,14.0,3.0,3.0,3.0,7.0,13.0,3.0,3.0,12.0
16,14.0,14.0,13.0,14.0,13.0,13.0,11.0,13.0,10.0,9.0,13.0,14.0,9.0,10.0,13.0,9.0,13.0,10.0,10.0,13.0,14.0,6.0,14.0,3.0,9.0,13.0,13.0,3.0,11.0,12.0,3.0,11.0,8.0,14.0,6.0,14.0,4.0,12.0,3.0,14.0,4.0,3.0,14.0,12.0,4.0,3.0,9.0,14.0,6.0,14.0,11.0,3.0,3.0,4.0,11.0,3.0,13.0,3.0,7.0,8.0,4.0,4.0,3.0,13.0,13.0,3.0,3.0,3.0,14.0,3.0,14.0,12.0
17,3.0,3.0,4.0,3.0,4.0,3.0,3.0,10.0,3.0,8.0,3.0,3.0,8.0,3.0,3.0,8.0,4.0,3.0,3.0,3.0,10.0,3.0,10.0,3.0,9.0,7.0,4.0,3.0,3.0,8.0,3.0,4.0,8.0,3.0,3.0,3.0,4.0,8.0,6.0,4.0,4.0,4.0,10.0,3.0,4.0,3.0,9.0,3.0,3.0,3.0,12.0,3.0,6.0,3.0,10.0,3.0,13.0,3.0,4.0,12.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,12.0
18,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13.0,13.0,4.0,3.0,13.0,4.0,13.0,6.0,3.0,13.0,3.0,3.0,3.0,3.0,4.0,13.0,13.0,3.0,3.0,4.0,3.0,3.0,8.0,3.0,3.0,3.0,4.0,8.0,6.0,4.0,4.0,4.0,10.0,12.0,4.0,3.0,9.0,3.0,3.0,3.0,11.0,3.0,6.0,3.0,10.0,3.0,3.0,3.0,4.0,8.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,12.0
19,10.0,10.0,4.0,10.0,4.0,3.0,10.0,10.0,3.0,8.0,3.0,3.0,8.0,3.0,13.0,8.0,4.0,6.0,4.0,13.0,10.0,3.0,10.0,3.0,9.0,13.0,4.0,3.0,3.0,8.0,3.0,3.0,8.0,3.0,3.0,3.0,4.0,8.0,6.0,4.0,4.0,4.0,13.0,12.0,4.0,3.0,9.0,3.0,6.0,3.0,11.0,3.0,6.0,3.0,10.0,3.0,13.0,3.0,7.0,8.0,3.0,4.0,3.0,14.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,12.0
20,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,6.0,3.0,7.0,3.0,5.0,7.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,6.0,5.0,6.0,4.0,6.0,4.0,3.0,3.0,13.0,3.0,11.0,3.0,3.0,3.0,12.0,3.0,6.0,3.0,3.0,3.0,3.0,13.0,4.0,12.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0,10.0,3.0,3.0,11.0
21,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,6.0,4.0,4.0,4.0,10.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,6.0,3.0,10.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,5.0
22,10.0,10.0,4.0,10.0,4.0,3.0,10.0,10.0,3.0,8.0,6.0,3.0,8.0,3.0,3.0,8.0,4.0,10.0,3.0,3.0,10.0,3.0,10.0,3.0,9.0,7.0,4.0,3.0,10.0,8.0,3.0,4.0,8.0,3.0,3.0,3.0,4.0,8.0,3.0,4.0,4.0,3.0,13.0,3.0,4.0,3.0,8.0,3.0,3.0,3.0,12.0,3.0,4.0,3.0,10.0,3.0,13.0,3.0,3.0,12.0,3.0,4.0,3.0,14.0,3.0,3.0,3.0,7.0,13.0,3.0,3.0,11.0
23,13.0,13.0,13.0,13.0,13.0,14.0,11.0,13.0,10.0,8.0,13.0,13.0,8.0,10.0,13.0,8.0,13.0,14.0,10.0,13.0,10.0,6.0,10.0,3.0,11.0,13.0,13.0,3.0,13.0,8.0,3.0,11.0,11.0,3.0,6.0,3.0,7.0,8.0,6.0,4.0,6.0,4.0,13.0,12.0,13.0,3.0,11.0,3.0,3.0,3.0,12.0,3.0,6.0,3.0,10.0,3.0,13.0,13.0,4.0,12.0,3.0,4.0,3.0,14.0,3.0,3.0,3.0,7.0,13.0,3.0,3.0,12.0
24,3.0,3.0,6.0,3.0,3.0,3.0,3.0,7.0,3.0,4.0,3.0,13.0,4.0,3.0,13.0,4.0,4.0,6.0,3.0,13.0,6.0,3.0,6.0,3.0,5.0,13.0,4.0,3.0,3.0,4.0,3.0,4.0,8.0,3.0,3.0,3.0,4.0,8.0,3.0,4.0,4.0,3.0,10.0,12.0,4.0,3.0,9.0,3.0,3.0,3.0,12.0,3.0,4.0,3.0,10.0,3.0,13.0,3.0,3.0,12.0,3.0,4.0,3.0,10.0,3.0,3.0,3.0,7.0,13.0,3.0,3.0,12.0
25,10.0,10.0,4.0,10.0,4.0,3.0,10.0,10.0,3.0,8.0,6.0,3.0,8.0,3.0,3.0,8.0,4.0,10.0,3.0,3.0,10.0,3.0,10.0,3.0,9.0,7.0,4.0,3.0,11.0,8.0,3.0,3.0,8.0,10.0,3.0,3.0,4.0,11.0,3.0,4.0,4.0,3.0,13.0,3.0,4.0,3.0,9.0,10.0,3.0,3.0,11.0,3.0,3.0,4.0,10.0,3.0,13.0,3.0,3.0,8.0,4.0,4.0,3.0,13.0,3.0,3.0,3.0,3.0,13.0,3.0,10.0,12.0
26,10.0,10.0,4.0,10.0,4.0,3.0,10.0,10.0,3.0,8.0,6.0,3.0,8.0,3.0,3.0,8.0,4.0,10.0,4.0,3.0,10.0,3.0,10.0,3.0,9.0,7.0,4.0,3.0,11.0,8.0,3.0,3.0,8.0,14.0,3.0,3.0,4.0,12.0,3.0,4.0,4.0,3.0,13.0,3.0,4.0,3.0,9.0,14.0,6.0,3.0,11.0,3.0,4.0,4.0,10.0,3.0,13.0,3.0,7.0,8.0,4.0,4.0,3.0,14.0,3.0,3.0,3.0,3.0,13.0,3.0,13.0,12.0
